end_folder_Training_Size_dd_epochs,K_DL,Error_does_not_fit,Error_model_in_ram,input_features,num_layers,R,hidden_units_list,output_dim,patience,min_delta,max_epochs,initial_epoch,RAM_KB,Flash_MB,CLK_FREQ_MHZ,RAM_HW_KB,Flash_HW_MB,env_name,mean_norm,perc50_norm,perc95_norm,std_norm,mean_int8,perc50_int8,perc95_int8,std_int8,mean_invoke,perc50_invoke,perc95_invoke,std_invoke,mean_dequant,perc50_dequant,perc95_dequant,std_dequant,mean_extract,perc50_extract,perc95_extract,std_extract,mean_extract_fast,perc50_extract_fast,perc95_extract_fast,std_extract_fast,mean_tot_latency,perc50_tot_latency,perc95_tot_latency,std_tot_latency,mean_tot_latency_fast,perc50_tot_latency_fast,perc95_tot_latency_fast,std_tot_latency_fast,Rate_OPT_py_load_val,Rate_DL_py_load_val,Rate_OPT_py_load_test,Rate_DL_py_load_test,Rate_DL_py_load_test_tflite,Rate_DL_py_load_test_tflite_mcu,Indmax_OPT_py_load_test[0:5],Indmax_DL_py_load_test[0:5],Indmax_DL_py_load_test_tflite[0:5],Indmax_DL_py_load_test_tflite_mcu[0:5]
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,0,1024,0,32,32 128 128,1024,4,0.001,200,200,62.531,1.309,240.000,320.000,4.000,esp32-s2-saola-tflm-o3,732.462,733.000,737.000,2.879,605.177,606.000,607.000,1.966,112092.255,112092.000,112095.000,2.047,437.165,437.000,441.000,2.297,181.781,181.000,185.000,1.523,61.890,62.000,65.000,1.015,114048.844,114049.000,114056.000,4.166,113491.788,113492.000,113498.050,4.124,1.789,0.219,1.773,0.213,0.277,0.204,"[542, 542, 539, 543, 541]","[539, 539, 540, 539, 540]","[539, 539, 540, 539, 539]","[540, 540, 540, 540, 541]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,1,1024,0,32,32 128 128,1024,4,0.001,200,200,62.531,1.309,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,0.219,1.773,0.213,0.277,0.000,"[542, 542, 539, 543, 541]","[539, 539, 540, 539, 540]","[539, 539, 540, 539, 539]","[0, 0, 0, 0, 0]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,0,1024,1,32,32 128 128,1024,4,0.001,200,200,62.531,0.373,240.000,320.000,4.000,esp32-s2-saola-tflm-o3,731.507,732.000,736.000,2.875,604.141,605.000,606.000,1.991,7851.888,7852.000,7853.000,1.462,413.714,413.000,432.000,10.328,182.133,182.000,186.000,1.845,60.960,61.000,64.000,0.970,9783.385,9783.000,9801.000,10.361,9248.499,9248.000,9255.000,3.812,1.789,1.654,1.773,1.649,2.144,0.186,"[542, 542, 539, 543, 541]","[541, 542, 539, 542, 541]","[541, 542, 539, 542, 541]","[540, 535, 536, 537, 533]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,0,1024,1,32,32 128 128,1024,4,0.001,200,200,62.531,0.373,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram,730.252,730.000,735.000,3.045,603.409,605.000,606.000,1.981,6211.793,6212.000,6216.000,1.942,412.560,412.000,431.000,10.353,182.277,182.000,186.000,1.883,63.916,64.000,67.000,0.979,8140.287,8140.000,8158.000,10.466,7609.366,7610.000,7615.000,3.690,1.789,1.654,1.773,1.649,2.144,0.186,"[542, 542, 539, 543, 541]","[541, 542, 539, 542, 541]","[541, 542, 539, 542, 541]","[540, 535, 536, 537, 533]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,0,1024,2,32,32 128 128,1024,4,0.001,200,200,62.531,0.474,240.000,320.000,4.000,esp32-s2-saola-tflm-o3,732.529,733.000,737.000,2.819,605.243,606.000,607.000,1.966,18838.677,18839.000,18840.000,1.619,417.357,417.000,435.000,9.255,183.959,184.000,188.000,1.872,62.036,62.000,65.000,1.058,20777.775,20777.000,20794.000,9.429,20238.494,20238.000,20245.000,3.804,1.789,1.768,1.773,1.751,2.276,0.184,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 536, 537, 533]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,1,1024,2,32,32 128 128,1024,4,0.001,200,200,62.531,0.474,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.768,1.773,1.751,2.276,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,0,1024,3,32,32 128 128,1024,4,0.001,200,200,62.531,0.494,240.000,320.000,4.000,esp32-s2-saola-tflm-o3,731.511,732.000,736.000,2.908,604.197,605.000,606.000,1.988,20802.996,20803.000,20805.000,1.737,411.839,411.000,429.000,8.830,182.863,182.000,187.000,1.828,60.980,61.000,64.000,0.957,22733.413,22733.000,22750.000,8.866,22199.690,22199.000,22206.000,3.789,1.789,1.775,1.773,1.762,2.291,0.181,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 536, 537, 533]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,1,1024,3,32,32 128 128,1024,4,0.001,200,200,62.531,0.494,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.775,1.773,1.762,2.291,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,0,1024,1,8,128 512 512,1024,4,0.001,200,200,62.531,0.563,240.000,320.000,4.000,esp32-s2-saola-tflm-o3,732.538,733.000,737.000,2.878,605.129,606.000,607.000,2.006,28769.014,28769.000,28771.000,1.801,411.561,411.000,426.000,7.687,184.205,184.000,188.000,1.827,62.028,62.000,65.000,1.060,30702.453,30702.000,30717.000,7.970,30168.715,30168.000,30176.000,3.967,1.789,1.774,1.773,1.752,2.278,0.184,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 535, 537, 533]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,1,1024,1,8,128 512 512,1024,4,0.001,200,200,62.531,0.563,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.774,1.773,1.752,2.278,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,0,1024,2,8,128 512 512,1024,4,0.001,200,200,62.531,1.015,240.000,320.000,4.000,esp32-s2-saola-tflm-o3,731.515,732.000,736.000,2.830,604.163,605.000,606.000,2.011,77891.176,77891.000,77894.000,1.899,415.181,415.000,433.000,10.682,182.883,182.000,187.000,1.800,61.027,61.000,64.000,1.058,79824.915,79825.000,79844.000,11.126,79287.877,79288.000,79295.000,4.233,1.789,1.782,1.773,1.765,2.295,0.184,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 536, 537, 533]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,1,1024,2,8,128 512 512,1024,4,0.001,200,200,62.531,1.015,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.782,1.773,1.765,2.295,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,0,1024,3,8,128 512 512,1024,4,0.001,200,200,62.531,1.279,240.000,320.000,4.000,esp32-s2-saola-tflm-o3,732.525,733.000,737.000,2.875,605.171,606.000,607.000,1.979,106139.293,106139.000,106144.000,2.957,404.152,403.000,424.000,10.429,183.197,183.000,187.000,1.671,62.022,62.000,65.000,1.052,108064.363,108063.000,108085.000,11.387,107539.035,107539.000,107546.000,4.575,1.789,1.786,1.773,1.769,2.300,0.182,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 536, 537, 533]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,1,1024,3,8,128 512 512,1024,4,0.001,200,200,62.531,1.279,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.786,1.773,1.769,2.300,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,0,1024,1,1,1024 4096 4096,1024,4,0.001,200,200,62.531,2.337,240.000,320.000,4.000,esp32-s2-saola-tflm-o3,732.505,733.000,737.000,2.842,605.187,606.000,607.000,1.996,224136.073,224135.000,224141.000,4.078,408.361,407.000,425.000,9.453,183.682,183.000,187.000,1.716,62.000,62.000,65.000,0.990,226065.807,226065.000,226084.000,11.040,225535.764,225536.000,225543.000,5.431,1.789,1.783,1.773,1.768,2.298,0.177,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[540, 535, 536, 537, 533]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,0,1,1024,1,1,1024 4096 4096,1024,4,0.001,200,200,62.531,2.337,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.783,1.773,1.768,2.298,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,1,0,1024,2,1,1024 4096 4096,1024,4,0.001,200,200,0.000,-5567656.000,240.000,320.000,4.000,esp32-s2-saola-tflm-o3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.782,1.773,1.767,2.297,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,1,0,1024,2,1,1024 4096 4096,1024,4,0.001,200,200,0.000,-5567696.000,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.782,1.773,1.767,2.297,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,1,0,1024,3,1,1024 4096 4096,1024,4,0.001,200,200,0.000,-22460024.000,240.000,320.000,4.000,esp32-s2-saola-tflm-o3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.787,1.773,1.772,2.304,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"
_seed0_grid1200_M3232_Mbar8_30000_ep200_fake2,64,1,0,1024,3,1,1024 4096 4096,1024,4,0.001,200,200,0.000,-22460064.000,240.000,320.000,4.000,esp32-s2-saola-tflm-o3-modelinram,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.789,1.787,1.773,1.772,2.304,0.000,"[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[542, 542, 539, 543, 541]","[0, 0, 0, 0, 0]"